PairID,Yr,HatchDate
Rost-6-2017-2,2017,NA
Triangle-1-2017-1,2017,2017-06-26
Triangle-2-2017-1,2017,NA
Triangle-2-2017-5,2017,2017-06-22
Triangle-2-2017-4,2017,2017-06-23
Triangle-2-2017-2,2017,2017-06-20
Triangle-2-2017-3,2017,2017-06-18
Triangle-3-2017-3,2017,NA
Triangle-3-2017-1,2017,2017-06-15
Triangle-3-2017-2,2017,2017-06-23
Farallon-1-2018-5,2018,2018-06-18
Farallon-4-2018-1,2018,2018-06-14
Farallon-4-2018-3,2018,2018-07-07
Rost-2-2018-5,2018,NA
Rost-3-2014-2,2014,2014-06-09
Farallon-3-2010-1,2010,2010-06-16
Rost-3-2010-3,2010,2010-06-17
Triangle-2-2015-1,2015,2015-07-02
Triangle-2-2015-3,2015,2015-07-12
Bonden-3-2010-1,2010,2010-06-13
Bonden-1-2014-1,2014,2014-06-01
Triangle-3-2014-1,2014,NA
Triangle-3-2015-2,2015,NA
Triangle-2-2016-2,2016,2016-06-22
Triangle-3-2016-1,2016,2016-06-17
Triangle-3-2016-2,2016,NA
Bonden-5-2018-1,2018,2018-06-18
Bonden-5-2018-4,2018,NA
Farallon-1-2018-2,2018,NA
Farallon-5-2018-1,2018,2018-07-02
Triangle-1-2018-3,2018,2018-06-23
Triangle-2-2018-4,2018,2018-06-20
Triangle-3-2018-1,2018,2018-06-13
Bonden-1-2018-1,2018,2018-06-07
Bonden-4-2018-1,2018,2018-06-13
Farallon-3-2018-4,2018,2018-06-15
Rost-3-2018-3,2018,2018-06-12
Rost-3-2018-4,2018,2018-06-13
Rost-3-2018-5,2018,NA
Triangle-1-2018-2,2018,2018-06-16
Farallon-1-2018-1,2018,2018-06-14
Farallon-2-2018-1,2018,2018-06-13
Rost-6-2018-2,2018,NA
Triangle-3-2018-2,2018,NA
Farallon-1-2016-2,2016,NA
Rost-3-2018-1,2018,NA
Rost-5-2018-3,2018,NA
Bonden-2-2011-1,2011,2011-07-07
Bonden-1-2012-1,2012,2012-06-23
Rost-2-2014-3,2014,NA
Farallon-3-2013-3,2013,NA
Farallon-3-2015-2,2015,NA
Rost-3-2015-1,2015,2015-06-28
Rost-3-2015-2,2015,2015-07-05
Rost-3-2015-4,2015,NA
Farallon-2-2016-1,2016,NA
Triangle-1-2019-1,2019,NA
Triangle-1-2019-2,2019,2019-06-20
Triangle-1-2019-3,2019,2019-06-20
Triangle-1-2019-4,2019,2019-06-26
Triangle-2-2019-1,2019,2019-06-17
Triangle-2-2019-2,2019,2019-06-16
Triangle-2-2019-3,2019,2019-06-20
Triangle-2-2019-4,2019,2019-06-21
Triangle-2-2019-5,2019,2019-06-22
Triangle-2-2019-6,2019,NA
Triangle-3-2019-1,2019,NA
Triangle-4-2019-1,2019,2019-06-29
Triangle-5-2019-1,2019,NA
Triangle-5-2019-2,2019,2019-07-05
Farallon-1-2019-1,2019,2019-06-15
Farallon-1-2019-2,2019,2019-06-14
Farallon-1-2019-3,2019,2019-06-14
Farallon-1-2019-4,2019,2019-06-17
Farallon-1-2019-5,2019,2019-06-17
Farallon-2-2019-1,2019,NA
Farallon-2-2019-2,2019,NA
Farallon-3-2019-1,2019,2019-06-13
Farallon-3-2019-5,2019,2019-06-17
Farallon-3-2019-6,2019,2019-06-16
Farallon-3-2019-7,2019,NA
Farallon-3-2019-3,2019,NA
Farallon-3-2019-4,2019,2019-06-18
Farallon-3-2019-2,2019,2019-06-16
Farallon-4-2019-1,2019,2019-06-14
Farallon-4-2019-2,2019,2019-06-20
Farallon-4-2019-3,2019,2019-06-22
Farallon-4-2019-4,2019,NA
Farallon-4-2019-5,2019,NA
Farallon-4-2019-6,2019,NA
Farallon-5-2019-1,2019,2019-06-20
Farallon-5-2019-2,2019,2019-06-23
Farallon-6-2019-1,2019,2019-07-02
Bonden-1-2019-1,2019,2019-06-08
Bonden-2-2019-1,2019,2019-06-16
Bonden-3-2019-1,2019,2019-06-15
Bonden-4-2019-1,2019,2019-06-16
