filename	start_time	end_time
Video2019/FARALLON3/FARALLON3_20190501_150429_first.jpg	2019-05-01 15:04:00	2019-05-01 15:34:00
Video2019/FARALLON3/FARALLON3_20190501_153429_first.jpg	2019-05-01 15:34:00	2019-05-01 15:50:00
Video2019/FARALLON3/FARALLON3_20190501_155012_first.jpg	2019-05-01 15:50:00	2019-05-01 16:20:00
Video2019/FARALLON3/FARALLON3_20190501_162012_first.jpg	2019-05-01 16:20:00	2019-05-01 16:50:00
Video2019/FARALLON3/FARALLON3_20190501_165012_first.jpg	2019-05-01 16:50:00	2019-05-01 17:20:00
Video2019/FARALLON3/FARALLON3_20190501_172012_first.jpg	2019-05-01 17:20:00	2019-05-01 17:50:00
Video2019/FARALLON3/FARALLON3_20190501_175012_first.jpg	2019-05-01 17:50:00	2019-05-01 18:05:00
Video2019/FARALLON3/FARALLON3_20190501_180556_first.jpg	2019-05-01 18:05:00	2019-05-01 18:35:00
Video2019/FARALLON3/FARALLON3_20190501_183556_first.jpg	2019-05-01 18:35:00	2019-05-01 19:05:00
Video2019/FARALLON3/FARALLON3_20190501_190556_first.jpg	2019-05-01 19:05:00	2019-05-01 19:35:00
Video2019/FARALLON3/FARALLON3_20190501_193556_first.jpg	2019-05-01 19:35:00	2019-05-01 20:05:00
Video2019/FARALLON3/FARALLON3_20190501_200556_first.jpg	2019-05-01 20:05:00	2019-05-01 20:21:00
Video2019/FARALLON3/FARALLON3_20190501_202140_first.jpg	2019-05-01 20:21:00	2019-05-01 20:51:00
Video2019/FARALLON3/FARALLON3_20190501_205140_first.jpg	2019-05-01 20:51:00	2019-05-01 21:21:00
Video2019/FARALLON3/FARALLON3_20190501_212140_first.jpg	2019-05-01 21:21:00	2019-05-01 21:51:00
Video2019/FARALLON3/FARALLON3_20190501_215140_first.jpg	2019-05-01 21:51:00	2019-05-01 22:21:00
Video2019/FARALLON3/FARALLON3_20190501_222140_first.jpg	2019-05-01 22:21:00	2019-05-01 22:37:00
Video2019/FARALLON3/FARALLON3_20190501_223725_first.jpg	2019-05-01 22:37:00	2019-05-01 23:07:00
Video2019/FARALLON3/FARALLON3_20190501_224832_first.jpg	2019-05-01 22:48:32	2019-05-01 23:59:50
Video2019/FARALLON3/FARALLON3_20190501_230725_first.jpg	2019-05-01 23:07:00	2019-05-01 23:37:00
